# Generated by tools/models/build_manifest.py - do not edit by hand.
# One row per SPICE definition found in models/spice/.
# restricted=1 means the defining file is marked non-shippable by
# tools/models/license_audit.py, even where its pack is otherwise usable.
# name	kind	device	pack	path	line	restricted
100393	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6475	0
100393	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6475	0
100395	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6654	0
100395	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6654	0
1008040	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	475	0
1008040	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	485	0
1008080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	487	0
1008080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	496	0
1008100	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	499	0
1008100	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	507	0
1008101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	643	0
1008101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	639	0
1008102	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	811	0
1008102	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	793	0
1008120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	511	0
1008120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	518	0
1008121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	655	0
1008121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	650	0
1008122	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	823	0
1008122	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	804	0
1008150	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	523	0
1008150	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	529	0
1008151	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	667	0
1008151	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	661	0
1008152	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	835	0
1008152	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	815	0
1008180	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	535	0
1008180	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	540	0
1008181	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	679	0
1008181	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	672	0
1008182	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	847	0
1008182	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	826	0
1008220	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	547	0
1008220	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	551	0
1008221	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	691	0
1008221	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	683	0
1008222	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	859	0
1008222	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	837	0
1008270	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	559	0
1008270	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	562	0
1008271	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	703	0
1008271	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	694	0
1008272	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	871	0
1008272	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	848	0
1008330	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	571	0
1008330	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	573	0
1008331	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	715	0
1008331	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	705	0
1008332	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	883	0
1008332	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	859	0
1008390	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	583	0
1008390	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	584	0
1008391	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	727	0
1008391	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	716	0
1008392	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	895	0
1008392	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	870	0
1008470	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	595	0
1008470	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	595	0
1008471	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	739	0
1008471	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	727	0
1008472	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	907	0
1008472	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	881	0
1008560	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	607	0
1008560	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	606	0
1008561	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	751	0
1008561	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	738	0
1008680	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	619	0
1008680	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	617	0
1008681	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	763	0
1008681	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	749	0
1008751	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	775	0
1008751	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	760	0
1008820	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	631	0
1008820	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	628	0
1008821	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	787	0
1008821	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	771	0
1008911	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	799	0
1008911	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	782	0
100L	model	magnetic-core	microcap-library	upstream/incompatible/tcore.lib	23	0
10100	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	14	0
10100	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	14	0
10101	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	46	0
10101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	46	0
10102	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	83	0
10102	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	83	0
10103	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	119	0
10103	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	119	0
10104	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	155	0
10104	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	155	0
10105	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	191	0
10105	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	191	0
10106	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	233	0
10106	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	233	0
10107	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	270	0
10107	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	270	0
10109	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	303	0
10109	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	303	0
10110	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	345	0
10110	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	345	0
10111	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	376	0
10111	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	376	0
10113	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	407	0
10113	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	407	0
10114	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	446	0
